x
California
"Salem, Oregon"
"Houston, TX"
Somewhere in Connecticut
"Arlington, VA"
"Nova Igua√ßu, Brasil"
istanbul
Thailand
"Bay Area, CA"
Salt Lake City 
"Murrieta, CA"
"Earth, Sol"
"Arlington, VA"
In pursuit of my dreams
"Florida, USA"
"Long Beach, CA"
Union Theological Seminary
Watching Dateline
"Brooklyn, NY"
"Manhattan, NY | NJ ‚úàÔ∏èMumbai"
"Brooklyn, NY"
"Gainesville, FL"
Florida- Nole Nation
"Rio de Janeiro, Brazil"
"New Orleans, LA"
"Los Angeles, California"
New York City
"St Louis, MO"
Everywhere
secure undisclosed location
"Indianapolis, IN"
Erie PA
The Bull City
"Dover, DE"
RT's Are FYI Purposes Only
Everywhere!
"White Oak, MD"
KGL ‚ú†
California
jabari mountains.
"Front Row, Center Right"
Middle of the Sea
N.E Ohio
No mar
"Santa Barbara, CA"
"Atlanta, GA"
caixa baixa
Chicago Illinois
"San Diego, CA"
Glasgow
"USA TODAY HQ, McLean, Va."
"Pittsburgh, PA"
"San Diego, CA"
Belgique
"Irvine, CA"
Northern Virginia
Durban North 
"Prudent√≥polis, Brasil"
por ai
"Ohio, USA"
bredene
NYC USA
USA
"Pittsburgh, PA"
"Hamilton, ON"
merkezinde (TURKƒ∞YE)
Cuman√°
Oregon
ƒ∞stanbul Beykoz
"California, USA"
"Rome, GA"
AUSTIN TX
"Denizli, T√ºrkiye"
"Sonoma County, California"
"ƒ∞stanbul, T√ºrkiye"
"New York, NY"
Land of Hope & Dreams (Texas)
"Thorofare, NJ"
"Spokane, WA"
all over the web
"Michigan, USA"
Leicester
enfp
LA and New York City
Montani Semper Liberi
"Folsom, CA United States"
"Macon, GA"
"Philadelphia, PA"
EE.UU
USA
Port Elizabeth || JHb
"Lincoln, NE"
"North Carolina, USA | Male"
"Chicago, IL Columbus, Oh "
"New York, NY"
"Gainesville, Florida"
Baltimore
Anywhere but here 
NAU
The realm of bushwick
Êó•Êú¨„ÄÄÂõõÂõΩ
Sheffield/Nottingham
brooklyn
"San Francisco, CA"
(‚ïØ¬∞‚ñ°¬∞Ôºâ‚ïØÔ∏µ ‚îª‚îÅ‚îª         
"Baltimore, MD"
District of Columbia
Coldheart Canyon
"Duque de Caxias, Brasil"
Houston & South Texas
"The Capital, Kuwait"
"The Woodlands, Texas"
United States
EAV
"Manila, PH"
Adelaide
"Calgary, Alberta"
Bae Area Bred
United States
"Pennsylvania, USA"
"Sioux City, IA"
Pennsylvania
"Oklahoma, USA"
"Atlanta, GA"
kansas
"here, there and everywhere"
"Washington, USA"
Em casa
"Lincoln, NE"
"Kocaeli ProvinceTR, Gebze"
Brasil 
RIO DE JANEIRO
Ey√ºp Sultan/ ƒ∞stanbul
"Santa B√°rbara, CA. EE. UU."
Arquibancada
Houston
"Laredo, Texas"
"New Orleans, LA"
"Georgia, USA"
Kentucky
"Chapel Hill, North Carolina"
"Gaziosmanpa≈üa, ƒ∞stanbul"
"ƒ∞stanbul, T√ºrkiye"
"Appleton, WI"
"Cabu√≠s, Nil√≥polis"
"Houston, TX"
Nearest woods.
"Phoenix, AZ"
"Spokane, WA"
Espa√±a
"Gaziosmanpa≈üa, ƒ∞stanbul"
"Boston & Salem, MA"
midwest U.S.
"Wichita, KS"
"Bay Area, CA"
"Detroit, MI"
"ƒ∞stanbul, T√ºrkiye"
"Virginia, USA"
"Huntington Beach, CA"
Colorado
"BIFC , Ohio"
"Florida, USA"
"Houston, Texas"
Pompano Beach
"Missouri, USA"
Ì†æÌµÄ
"Weslaco, TX"
loading....
Delaware
Washington DC
"Indianapolis, IN"
"Baltimore, Maryland"
Warszawa
"Chicago, IL"
"Atlanta, GA"
"Houston, TX"
"Leawood, KS"
bergen
ÔΩìÔΩèÔΩÜÔΩî ÔΩÅÔΩéÔΩÑ ÔΩóÔΩàÔΩÖÔΩÅÔΩî
"Washington, DC"
"Rio de Janeiro, Brasil"
"Rockaway, NJ"
"Charlottesville, VA"
"Rio de Janeiro, Brazil"
florida
"Biloxi, Mississippi"
"Rockford, IL"
"S√£o Gon√ßalo, Brasil"
rio de janeiro
"Houston, TX"
"Fort Wayne, IN"
"Hattiesburg, MS"
"Washington, DC"
in the idol producer phase
"Los Angeles, CA"
s....
oasis
"Washington, D.C."
"Buffalo, N.Y."
Kingston
"San Antonio, TX"
"Syracuse, NY"
"Gaziosmanpa≈üa, ƒ∞stanbul"
"Houston, TX"
"Rio de Janeiro, Brasil"
"Waco, TX"
"Philadelphia, PA"
G Town. Ky
E Dolla $ign
"Katy, TX"
Handing out L‚Äôs
"Colorado Springs, CO, USA"
"Mau√°, Brasil"
the islands
California
LA BABY!
"Gainesville, Florida, USA"
Calgary
Rio de Janeiro
Ankara
king's landing
"Las Vegas, NV"
Rio de Janeiro
Switzerland
New York City
"Washington, D.C."
Homestead
htx | txst
"Houston, TX"
"Jamaica, Queens, NY"
"Riverside, CA"
"Trumpville, U. S. A. "
United States
Rossville
"Colorado, USA"
"Louisville, KY"
"Cheverly, Maryland"
Santa Barbara-Santa Maria-SLO
"Santa Barbara, CA"
Santa Barbara
"Santa Maria, San Luis Obispo"
"Monterey County, California"
"Harrisburg, Pennsylvania, USA"
In Between
"Hawaii, USA"
"Austin, Chicago"
"Los Angeles, CA"
Boston / Jerry's apartment
"Ogden, UT"
"Indianapolis, IN, USA"
"Coldwater,MI"
Nederland
Pittsburgh Pa
"Atlanta, Georgia, USA"
"Piedmont Triad, NC"
"Santa Barbara, CA"
"Minneapolis, MN"
"Newark, Ohio"
"Cumberland, Md."
"Yo, Thailand"
Black
Earth
"Newtown, CT"
"Puerto Rico, USA"
"San Marcos, TX"
"Houston, TX"
Illinois
Sumatera Barat
na merda
"Washington, DC"
Brisbane
"Burgos & Valladolid, Spain"
"Arizona, USA"
TURKEY/ORDU
"Rio de Janeiro, Brasil"
"Maple, ON"
"Chicago, IL"
Not a Nigella Parody
"Santa Ana, CA"
straight as a circle
The Town Whose Name Was Stolen
dumbass idiot box
Boston
"Fort Bliss, TX"
"Queens, NY"
"Harlingen, TX"
"Lexington, KY"
"Richland Center, WI"
"San Diego, CA"
"New Hampshire, USA"
Singapore
"Connecticut, USA"
KansasCityMO‚ô°
"Bodrum, T√ºrkiye"
"Cumming, GA"
"Ohio, USA"
"Chicago, Illinois"
Florida USA
Pretoria
"Houston, TX"
"New York, NY"
"Lexington Park, md"
"Sao Paulo, Brazil"
Provence-Alpes-C√¥te d'Azur
"San Mateo County, California"
Rio de Janeiro
"Texas, USA"
"Florham Park, New Jersey"
Levante
"Beverly Hills, CA"
T√úRKƒ∞YE
"Washington, OK "
"Londinium (well, sort of)"
United States
"Atlanta, GA"
"Washington, D.C."
Metro New York
San Francisco Bay Area
"South Carolina, USA"
"Aurora,IL"
Oman|Usa
"Bronx, New York "
"Bel√©m, Brazil"
Deep in the heart of Texas
Brasil
"Los Angeles, CA"
New York City
"Lancaster, PA"
"Barra Mansa, Rio de Janeiro "
"Marietta, GA"
Aonde o Flu jogar
"√úmraniye, ƒ∞stanbul"
"Washington, DC"
Bay Area - California
"Aggtown, TX"
ohio √ºniversitesi USA
"Las Vegas, NV"
Belgium
United States
"Washington, DC"
Minnesota
Beasil
"Marble Falls, Texas"
Thailand
uvalde tx
"Grand Rapids, MI"
"Harrisburg, PA"
Brampton
United States
"California, USA"
"Manhattan, NY"
"Lexington, KY"
Philly area PA
San Diego
"Westminster, MD"
Tennessee
the House of Two Rams 
Sri Lanka
somewhere in Philly
SoCal
"Fort Wayne, IN"
Brasil
"Winston-Salem, NC"
"Miami, Florida"
Everywhere USA
"Lexington, KY"
"Urbana, Illinois"
"Green Bay, Wisconsin"
Garland TX
"New York, NY"
New York
UT Southwestern Medical Center
CNY
The Lone Star State
"Atlanta, GA"
"Mesquite, Texas"
San Diego
"Atlanta, GA"
United States
Unceded Duwamish Territory
"Opelika, AL"
"Vit√≥ria, Brazil"
"New York, NY"
"Charleston, WV"
Colorado
"Las Vegas, NV"
"Georgia, USA"
My bed
Georgia
Los Angeles County
New York City
"Atlanta,Ga"
miami ‚òÄÔ∏è
"California, USA"
USA
"Raleigh, NC"
"Minneapolis, MN"
Milliyet√ßi Hareket Partisi 
"Oakville, ON"
Kawan ditempat
Beyoƒülu
Sarasaland
Wienerpeg
"White Nabow, PR"
Dallas / Fort Worth
Rio de Janeiro
"Dallas, TX"
"Rio de Janeiro, Brazil"
"Marlboro, N.J.
"
IL
"Indianapolis, IN"
"Alanya, T√ºrkiye"
Boston
"Indiana , USA "
"Woodbury, MN"
"Spokane, WA"
United States
Edinburgh
The Aisle Seat
"West Lafayette, IN"
Colorado
"Storybrooke,Maine"
Austin TX
"Dallas, TX"
"New York, NY"
New York City
"Springfield, IL"
"Rochester, NY"
"Sao Paulo, Brazil"
Uranus
"Washington, DC"
"Greensboro, NC"
"Rio de Janeiro, Brasil"
Healing Powers Series Author
Houston
N THEE CUT
"Los angeles, ca."
D√ºnya (≈üimdilik) 
"Chicago, IL"
"Ankara, T√ºrkiye"
Sla
phx
"Para√≠ba, Brasil "
Monticello
Arizona
Volta redonda
"Quintana Roo, M√©xico"
Southwest Arizona
Miami / Fort Lauderdale
"California, USA"
"Lexington, KY"
Sheffield
"Indianapolis, IN"
"Hudson Valley, New York"
Nor*Cal
"Seattle, WA"
"California, USA"
gaziantep
Through the mists
Colorado
istanbul kartal
"San Diego, CA"
Niteroi
Albania
"lexington, ky"
"San Diego, CA"
USA
"Boston, MA"
Serik / ANTALYA
"San Diego, CA"
"grove heights, sc"
"Ellerys Lane, Dedham, Maine"
Ohio
Rio de Janeiro 
"North Canton, OH"
"New York, NY"
≈ûehr-i ƒ∞stanbul
"Tucson, Arizona"
grove heights.
"Vatan, "
Melbourne
Houston
"Burr Ridge, IL"
"Nashville, TN."
"California, USA"
"South Carolina, USA"
United States
"Santa Monica, CA"
Edinburgh
JYPNation|Crush&Dean|Luhan|UNB
"≈ûahinbey, Gaziantep"
Belgium
"Washington, DC"
"Wichita, Kansas"
"Tuzla, ƒ∞stanbul"
"Bradenton, FL"
T√úRKƒ∞YE
ƒ∞stanbul-Trabzon-Kocaeli
"Whittier, California"
"Los Angeles, CA"
"Atlanta, GA"
"Simpsonville, SC"
"Danville, IL"
Washington 
"Virginia, USA"
Devizes 
"Harpswell, ME USA"
DM[V]
"Cranbury, NJ"
"Barcelona, Spain"
sacramento
"Greenwood Village, CO"
"Baltimore, MD"
"Norfolk, NE"
United States
Bayonne NJ  | multifandom
United States
Moving to Southern California
"Lexington, KY"
"Peoria Heights, IL"
Washington
"Rio de Janeiro, Brazil"
"Valencia, Espa√±a"
Bank 
NYC
"Kenosha, WI, Skokie, IL and Chicago, IL"
probably at target
"Rio de Janeiro, Brasil"
S√£o Paulo
"Albuquerque, NM"
"Springfield, Illinois"
"Bethesda, MD"
Orlando - Daytona Beach
"Niter√≥i, Brasil"
South Florida
Alpharetta GA
"ƒ∞stanbul, T√ºrkiye"
"Chicago, IL"
US
"Avon, IN"
"New York, NY"
Maastricht
"Houston, TX"
"Georgia, Seattle, Austria& NYC"
NYC
"los angeles,califas"
"Ausserbraz
"
fl ‚Ä¢ asp
"Oneonta, NY"
Palm Springs
"Palm Springs, CA"
"Seattle, WA"
"Harrisburg, PA"
"Las Vegas, NV"
Barbourville Kentucky 
Wherever...
"Chicago, IL"
New York
"Soho, NY NY"
"California, USA"
"Owings, MD"
"New Orleans, LA"
"Kelang, Selangor"
"Ewa Beach, HI"
"Campinas, Brasil"
"Abstract, U.S.A."
wandering around in my dreams
red ruff PLUS
"Decatur, IL"
"Esp√≠rito Santo, Brasil"
tres rios rj
Southern California
"San Marcos, TX"
"Bonsucesso, Rio de Janeiro"
"Mississippi, USA"
"Clarksburg, MD"
Fourth Moon of Yavin
"Los Angeles, CA"
"Boston, MA"
Ilha do governador 
"B/w Venus, Mercury & Jupiter"
Liverpool
Greater Boston
Richmond VA
Lalaland.
"Ohio, USA"
Indianapolis
e s s t q
Bryant Arkansas
Brazil
US
"Florida, USA"
"Downers Grove, IL"
San JoseÌ†ºÌºäÌ†ºÌºäIG:_TVision
Diyarbakƒ±r
chicagoooo
New York
Suriname
Midlothian Virginia
New York
"Rio de Janeiro, Brasil"
"Columbia, SC"
Waldron
Crawfordsville
"Las Vegas, Nevada"
"San Francisco Bay Area, USA"
"Thorofare, NJ"
"Ilha do Governador, Rio de Janeiro"
"Elizabethtown, KY"
NC or RI or NYC probably
usa
"Ottumwa, IA"
Purdue Bay Alaska
Newark / York
"Indiana (formerly Toledo,OH)"
"New York, NY"
NE Mississippi
"Ottumwa, IA"
"Chattanooga, TN"
"Racine, WI"
"Kansas City, Missouri"
"Brea, CA"
"Washington, DC"
finally with the gf
"Anthems, in my throne "
"Chattanooga, TN"
"HOUSTON, TX."
"Boca Raton, FL"
Chicago
"Englewood, FL"
"Baltimore, MD"
United States
San Diego County
"North Carolina, USA"
Diretamente de Padre miguelÌ†ΩÌ∏è
Kuala Lumpur
"Kansas City, MO"
"West Fargo, ND"
NH & VT
"Richmond, VA"
"New York, NY"
"A Valley Somewhere in NY, USA"
"California, USA"
USA
at work . 
"Wellington, New Zealand"
Port Washington
"Missouri, USA"
"Fort Myers, FL"
Houston Texas
Texas
"Rio de Janeiro, Brasil"
"Rochester, NY"
SEOUL CITY
"California, USA"
"Swansea, Wales"
San Francisco
"Marina, CA"
"Broken Arrow, OK"
"Washington, D.C."
New York
m s w s s 
"Mehlville, MO"
"Centralia, MO"
United States
The Universe. 
"Mishawaka, IN"
"Lynchburg, VA"
"New Orleans, LA"
"San Francisco, CA"
"Lucas Valley
"
"Pachtgoederen
"
"Urschendorf
"
"Pailshara
"
"Fraforeano
"
"Miami Beach, FL"
"Fort Wayne, IN"
"Waiden
"
"Spring Arbor
"
"Tenbrielen
"
Cincinnati
Formerly Bi-Coastal (CA & FL)
"Cannon Beach, Oregon"
Brazil
America...fuck yeah
"Appleton, WI"
"Washington, D.C."
New Jersey
"Washington, DC"
Thorofare New Jersey USA
"Columbia, SC"
"Philadelphia, PA"
"Providence, RI"
"San Diego, CA"
Rio de Janeiro
USA 
"Ada, MI"
"Lake Los Angeles, CA"
"Washington, D.C."
"Bentonville, AR"
"Phoenix, AZ"
United States
"Florida, USA"
"Washington, DC"
Dr. Who's Phone Booth
"Queens, New York"
Having BTS swim in my tears
"Orlando, FL"
Georgia
"Dar es Salaam, Tanzania"
Van
"Colorado, USA"
"Rio de Janeiro, Brasil"
not in DubC
"San Antonio, TX"
Sad yeehaw Ì†æÌ¥†
Preston
"Houston, TX"
Nazareth PA
"Melbourne, Victoria"
Planet Earth
Chicago | Michoacan
United States
"Orlando & Jacksonville, FL"
"Portland, Oregon"
The Milky Way
"Rio de Janeiro, Brasil"
"Glasgow, KY"
"Arizona, USA"
RjÌ†ºÌ∑ÆÌ†ºÌ∑±
"New York, NY"
Bama
USA
New Zealand
"Palmdale, CA"
"Houston, TX"
Gloucestershire
"Rio de Janeiro, Brasil"
Hillside
U.S.
Goi√¢nia //Ì†ΩÌ≥åBsb
The Polo Trap
"Atlanta, GA"
"Philadelphia, PA"
"Everywhere, nowhere"
"Austin, TX "
"Mission Viejo, CA"
"Lakeland, Florida"
upstate SC
"Twinsburg, OH"
Cc tx 
"Alexandria, LA Ì†ºÌºê"
"Tuscaloosa, Alabama"
"California, USA"
"Akron, Ohio"
orange farm SA
"Mountain House, CA"
Lote X 
Recife
"Caracas, Venezuela."
"Birnin Zana, Wakanda"
Kentucky
Rio de Janeiro
"Virginia, Jersey native"
"Antioch, CA"
Bear Island
"Seattle, Washington"
Paterson-North Jersey 
T√ºrkiye
"Natal, Brasil"
RoCo 
rj
"Tennessee, USA"
United States
"Baltimore, Maryland"
"Clearwater, FL"
"Oakland, CA"
Balor Wonderland
the Moon
"Wyoming, USA"
na tua
Washignton DC
Nil√≥polis
"Washington, DC"
"Wellington, New Zealand"
New York
Mureta da Urca
hotel cortez
York & Leeds
"Grapevine, Texas"
Oxnard
"Bayfield, CO"
idaho
"New Jersey, USA"
"Wayne, NJ"
Massachusetts
"Allentown, PA"
United States
"New York, NY"
"San Diego, CA"
"Stafford, VA"
"Lubbock, TX"
"Bay Shore, NY"
Gaelandia
"Sevilla, Espa√±a"
New Zealand
New Orleans
San Francisco Bay Area
"New York, NY"
"Las Vegas, NV"
NWA & River Valley
"Tampa, FL"
"Medford, OR"
"Chicago, IL"
New York & ◊™◊ú ◊ê◊ë◊ô◊ë
Oregon's Paris
Niter√≥i-Rio de Janeiro
Rio de Janeiro/RJ
"S√£o Louren√ßo, Minas Gerais"
Miami
"West Lafayette, IN"
"Brooklyn, NY, United States"
Texas/Oklahoma/Florida
San Diego
"San Diego, CA"
HOME
"Berrytown, Virginia, USA"
Ì†ΩÌ≤´
"Massachusetts, USA"
"College Station, TX"
"Sioux Falls, SD"
"Greenville, SC"
Republic of the Philippines
i'm a (solid gold) unicorn.
"Kokomo, IN"
"Nova Igua√ßu, Brasil"
Guarapari/ES 
"Florida, USA"
"Compton, CA"
USA
"Buffalo, NY"
"Seattle, WA"
"Dallas, TX"
Alaska
"Columbus, OH"
Deptford sloth
"New York, NY"
West Michigan
"Miami, Florida, USA"
"Albany, GA"
Brony Fandom
"Idaho, USA"
Obat Peninggi Badan Alami
Indianapolis
Â§ßÈò™
"Florida, USA"
"Beaumont, Texas"
"Detroit, MI"
"Brooklyn, NY"
"Silver Spring, MD"
