,x
380,"Annapolis, MD"
381,"Jackson, MS"
382,Rosário-ma
383,Rio de Janeiro
386,"Rio de Janeiro, Brasil"
387,Rio de Janeiro
388,"Los Angeles, CA"
389,Belgium
390,"Washington, USA"
391,"Thot Town , New York "
392,"Chicago, IL"
393,"Portland, OR"
394,"Rio de Janeiro, Brazil"
395,"Petrópolis, Brasil"
396,Los Cabos
397,"NoDa, Charlotte"
398,"Mooresville, NC"
399,"North Carolina, USA"
400,"Myers Park, Charlotte"
401,"Huntersville, NC"
402,"Raleigh, NC"
403,"Watertown, MA, USA"
404,New York City
405,"Piauí, Brazil"
406,"Illinois, USA"
408,"Twosun, Arizona"
409,"Corvallis, OR"
410,"Probolinggo, Jawa Timur"
411,"CIBOLO, TEXAS"
412,"Omaha, NE"
413,United States
414,"Gainesville, FL"
415,Base Hereford
416,"Louisiana, USA"
417,"Chicago, IL"
418,"Fairfax, CA"
419,Maine
420,Oregon
421,Mountains Arkansas
422,Society of Technowizards
423,"Rio de Janeiro, Brasil"
424,GTA
425,"Busan, Republic of Korea"
426,"Pennsylvania, USA"
427,Connecticut
428,"Kailua-Kona, HI"
429,East Carolina University
430,"New Haven, CT"
431,Israel
432,"Jonesborough, TN"
433,"Hamilton, OH"
435,"Louisville, KY"
436,Bleachers
437,"New York, NY"
438,"Idaho, USA"
439,istanbul
440,"Chicago, Illinois"
441,"Mission Hills, CA"
442,Laandaan
443,"Boston, MA"
444,"Blue Drop, Large Red Ocean"
445,"Charlotte, NC"
446,"New Jersey, USA"
447,"Pembroke Pines, FL"
448,"Tennessee, USA"
449,"Águia Branca, Brasil"
450,"Arlington Heights, IL"
451,"Montclair, NJ"
452,"McKinney, TX."
453,"Minneapolis, MN"
455,"University of Missouri at Columbia, Mo."
456,"Clarkson, Perth (WA)"
457,Turkey
458,"Plantation, FL"
459,"Baltimore, Maryland"
460,San Francisco
461,"Santiago, RM, Chile"
462,"Gulfport, MS"
463,Belo Horizonte
465,"Palestine, TX"
466,"Auckland, New Zealand"
467,"Washington, D.C."
468,SoCal
469,Central Alberta
470,"Las Vegas, NV"
471,US
472,"El Paso, Texas, USA"
473,Heartland of America
474,"Sacramento, CA"
475,"Cedar County, IA"
476,Traverse City
477,"San Antonio, Texas"
478,"Atlanta, GA"
479,"Atlanta, GA"
480,Singapore
481,"Boston, MA"
482,"Belvidere, IL"
483,"Rio de Janeiro, Brasil"
484,"Angra dos Reis, Brasil"
485,España
486,"Columbus, OH"
487,Fluminense FC
488,Maryland
490,Chicago
491,"Winona Lake, IN "
492,Corsica
493,"Boston, MA"
494,"Spokane, WA"
495,"Ormond Beach, FL"
496,In the trash.
497,ASU Biology
498,"Waterloo, IA"
499,"Huntsville, AL"
500,"Chicago, IL"
501,"Nairobi, Kenya"
502,clog wench
503,"Houston, TX"
504,Somewhere in Connecticut
505,"Arlington, VA"
506,"Nova Iguaçu, Brasil"
507,istanbul
508,Thailand
509,"Bay Area, CA"
510,Salt Lake City
511,"Murrieta, CA"
512,"Earth, Sol"
513,"Arlington, VA"
514,In pursuit of my dreams
515,"Florida, USA"
516,"Long Beach, CA"
517,Union Theological Seminary
518,Watching Dateline
519,"Brooklyn, NY"
520,"Manhattan, NY | NJ ✈️Mumbai"
521,"Brooklyn, NY"
522,"Gainesville, FL"
523,Florida- Nole Nation
524,"Rio de Janeiro, Brazil"
525,"New Orleans, LA"
526,"Los Angeles, California"
527,New York City
528,"St Louis, MO"
529,Everywhere
530,secure undisclosed location
531,"Indianapolis, IN"
532,Erie PA
533,The Bull City
534,"Dover, DE"
535,RT's Are FYI Purposes Only
536,Everywhere!
537,"White Oak, MD"
539,California
540,jabari mountains.
541,"Front Row, Center Right"
542,Middle of the Sea
543,N.E Ohio
544,No mar
545,"Santa Barbara, CA"
546,"Atlanta, GA"
547,caixa baixa
548,Chicago Illinois
549,"San Diego, CA"
550,Glasgow
551,"USA TODAY HQ, McLean, Va."
552,"Pittsburgh, PA"
553,"San Diego, CA"
554,Belgique
555,"Irvine, CA"
556,Northern Virginia
557,Durban North
558,"Prudentópolis, Brasil"
559,por ai
560,"Ohio, USA"
561,bredene
562,NYC USA
563,USA
564,"Pittsburgh, PA"
565,"Hamilton, ON"
567,Cumaná
568,Oregon
569,İstanbul Beykoz
570,"California, USA"
571,"Rome, GA"
572,AUSTIN TX
574,"Sonoma County, California"
576,"New York, NY"
577,Land of Hope & Dreams (Texas)
578,"Thorofare, NJ"
579,"Spokane, WA"
581,"Michigan, USA"
582,Leicester
583,enfp
584,LA and New York City
585,Montani Semper Liberi
586,"Folsom, CA United States"
587,"Macon, GA"
588,"Philadelphia, PA"
589,EE.UU
590,USA
591,Port Elizabeth || JHb
592,"Lincoln, NE"
593,"North Carolina, USA | Male"
594,"Chicago, IL Columbus, Oh "
595,"New York, NY"
596,"Gainesville, Florida"
597,Baltimore
602,Sheffield/Nottingham
603,brooklyn
604,"San Francisco, CA"
606,"Baltimore, MD"
607,District of Columbia
608,Coldheart Canyon
609,"Duque de Caxias, Brasil"
610,Houston & South Texas
611,"The Capital, Kuwait"
612,"The Woodlands, Texas"
613,United States
614,EAV
615,"Manila, PH"
616,Adelaide
617,"Calgary, Alberta"
618,Bae Area Bred
619,United States
620,"Pennsylvania, USA"
621,"Sioux City, IA"
622,Pennsylvania
623,"Oklahoma, USA"
624,"Atlanta, GA"
625,kansas
626,"here, there and everywhere"
627,"Washington, USA"
628,Em casa
629,"Lincoln, NE"
630,"Kocaeli ProvinceTR, Gebze"
631,Brasil
632,RIO DE JANEIRO
634,"Santa Bárbara, CA. EE. UU."
635,Arquibancada
636,Houston
637,"Laredo, Texas"
638,"New Orleans, LA"
639,"Georgia, USA"
640,Kentucky
641,"Chapel Hill, North Carolina"
642,"Gaziosmanpaşa, İstanbul"
644,"Appleton, WI"
645,"Cabuís, Nilópolis"
646,"Houston, TX"
647,Nearest woods.
648,"Phoenix, AZ"
649,"Spokane, WA"
651,"Gaziosmanpaşa, İstanbul"
652,"Boston & Salem, MA"
653,midwest U.S.
654,"Wichita, KS"
655,"Bay Area, CA"
656,"Detroit, MI"
658,"Virginia, USA"
659,"Huntington Beach, CA"
660,Colorado
661,"BIFC , Ohio"
662,"Florida, USA"
663,"Houston, Texas"
664,Pompano Beach
665,"Missouri, USA"
667,"Weslaco, TX"
669,Delaware
670,Washington DC
671,"Indianapolis, IN"
672,"Baltimore, Maryland"
673,Warszawa
674,"Chicago, IL"
675,"Atlanta, GA"
676,"Houston, TX"
677,"Leawood, KS"
680,"Washington, DC"
681,"Rio de Janeiro, Brasil"
682,"Rockaway, NJ"
683,"Charlottesville, VA"
684,"Rio de Janeiro, Brazil"
685,florida
686,"Biloxi, Mississippi"
687,"Rockford, IL"
689,rio de janeiro
690,"Houston, TX"
691,"Fort Wayne, IN"
692,"Hattiesburg, MS"
693,"Washington, DC"
694,in the idol producer phase
695,"Los Angeles, CA"
698,"Washington, D.C."
699,"Buffalo, N.Y."
700,Kingston
701,"San Antonio, TX"
702,"Syracuse, NY"
703,"Gaziosmanpaşa, İstanbul"
704,"Houston, TX"
705,"Rio de Janeiro, Brasil"
706,"Waco, TX"
707,"Philadelphia, PA"
708,G Town. Ky
709,E Dolla $ign
710,"Katy, TX"
711,Handing out L’s
712,"Colorado Springs, CO, USA"
713,"Mauá, Brasil"
714,the islands
715,California
716,LA BABY!
717,"Gainesville, Florida, USA"
718,Calgary
719,Rio de Janeiro
720,Ankara
721,king's landing
722,"Las Vegas, NV"
723,Rio de Janeiro
724,Switzerland
725,New York City
726,"Washington, D.C."
727,Homestead
728,htx | txst
729,"Houston, TX"
730,"Jamaica, Queens, NY"
731,"Riverside, CA"
732,"Trumpville, U. S. A. "
733,United States
734,Rossville
735,"Colorado, USA"
736,"Louisville, KY"
737,"Cheverly, Maryland"
738,Santa Barbara-Santa Maria-SLO
739,"Santa Barbara, CA"
740,Santa Barbara
741,"Santa Maria, San Luis Obispo"
742,"Monterey County, California"
743,"Harrisburg, Pennsylvania, USA"
744,In Between
745,"Hawaii, USA"
746,"Austin, Chicago"
747,"Los Angeles, CA"
748,Boston / Jerry's apartment
749,"Ogden, UT"
750,"Indianapolis, IN, USA"
751,"Coldwater,MI"
752,Nederland
753,Pittsburgh Pa
754,"Atlanta, Georgia, USA"
755,"Piedmont Triad, NC"
756,"Santa Barbara, CA"
757,"Minneapolis, MN"
758,"Newark, Ohio"
759,"Cumberland, Md."
760,"Yo, Thailand"
761,Black
762,Earth
763,"Newtown, CT"
764,"Puerto Rico, USA"
765,"San Marcos, TX"
766,"Houston, TX"
767,Illinois
768,Sumatera Barat
769,na merda
770,"Washington, DC"
771,Brisbane
772,"Burgos & Valladolid, Spain"
773,"Arizona, USA"
774,TURKEY/ORDU
775,"Rio de Janeiro, Brasil"
776,"Maple, ON"
777,"Chicago, IL"
778,Not a Nigella Parody
779,"Santa Ana, CA"
780,straight as a circle
781,The Town Whose Name Was Stolen
782,dumbass idiot box
783,Boston
784,"Fort Bliss, TX"
785,"Queens, NY"
786,"Harlingen, TX"
787,"Lexington, KY"
788,"Richland Center, WI"
789,"San Diego, CA"
790,"New Hampshire, USA"
791,Singapore
792,"Connecticut, USA"
793,KansasCityMO♡
795,"Cumming, GA"
796,"Ohio, USA"
797,"Chicago, Illinois"
798,Florida USA
799,Pretoria
800,"Houston, TX"
801,"New York, NY"
802,"Lexington Park, md"
803,"Sao Paulo, Brazil"
804,Provence-Alpes-Côte d'Azur
805,"San Mateo County, California"
806,Rio de Janeiro
807,"Texas, USA"
808,"Florham Park, New Jersey"
809,Levante
810,"Beverly Hills, CA"
812,"Washington, OK "
813,"Londinium (well, sort of)"
814,United States
815,"Atlanta, GA"
816,"Washington, D.C."
817,Metro New York
818,San Francisco Bay Area
819,"South Carolina, USA"
820,"Aurora,IL"
821,Oman|Usa
822,"Bronx, New York "
823,"Belém, Brazil"
824,Deep in the heart of Texas
825,Brasil
826,"Los Angeles, CA"
827,New York City
828,"Lancaster, PA"
829,"Barra Mansa, Rio de Janeiro "
830,"Marietta, GA"
831,Aonde o Flu jogar
833,"Washington, DC"
834,Bay Area - California
835,"Aggtown, TX"
837,"Las Vegas, NV"
838,valerie ♡
839,Belgium
840,United States
841,"Washington, DC"
842,Minnesota
843,Beasil
844,"Marble Falls, Texas"
845,Thailand
846,uvalde tx
847,"Grand Rapids, MI"
848,"Harrisburg, PA"
849,Brampton
850,United States
851,"California, USA"
852,"Manhattan, NY"
853,الجمهورية العربية السورية
854,"Lędziny, Polska"
855,"Lexington, KY"
856,Philly area PA
857,San Diego
859,"Westminster, MD"
860,Tennessee
861,the House of Two Rams
862,Sri Lanka
863,somewhere in Philly
864,SoCal
866,"Fort Wayne, IN"
867,Brasil
868,"Winston-Salem, NC"
869,"Miami, Florida"
870,Everywhere USA
871,"Lexington, KY"
872,"Urbana, Illinois"
873,"Green Bay, Wisconsin"
874,Garland TX
875,"New York, NY"
876,New York
877,"Magé, Brasil"
878,UT Southwestern Medical Center
879,CNY
880,The Lone Star State
881,"Atlanta, GA"
882,"Mesquite, Texas"
883,San Diego
884,"Atlanta, GA"
885,United States
886,Unceded Duwamish Territory
887,"Opelika, AL"
888,"Vitória, Brazil"
889,"New York, NY"
890,"Charleston, WV"
891,Colorado
892,"Las Vegas, NV"
893,"Georgia, USA"
894,My bed
895,Georgia
896,Los Angeles County
897,New York City
898,"Atlanta,Ga"
899,miami
900,"California, USA"
901,USA
903,"Raleigh, NC"
904,"Minneapolis, MN"
905,Milliyetçi Hareket Partisi
906,"Oakville, ON"
907,Kawan ditempat
910,Beyoğlu
911,Sarasaland
912,Wienerpeg
914,"White Nabow, PR"
915,Dallas / Fort Worth
916,Rio de Janeiro
917,"Dallas, TX"
918,"Rio de Janeiro, Brazil"
919,"Marlboro, N.J."
920,IL
921,"Indianapolis, IN"
923,Boston
924,"Indiana , USA "
925,"Woodbury, MN"
926,"Spokane, WA"
927,United States
928,Edinburgh
929,The Aisle Seat
930,"West Lafayette, IN"
932,Colorado
933,"Storybrooke,Maine"
934,Austin TX
935,"Dallas, TX"
936,"New York, NY"
937,New York City
938,"Springfield, IL"
939,"Rochester, NY"
940,"Sao Paulo, Brazil"
941,Uranus
942,"Washington, DC"
943,"Greensboro, NC"
944,"Rio de Janeiro, Brasil"
945,Healing Powers Series Author
946,Houston
948,"Los angeles, ca."
950,"Chicago, IL"
952,Sla
953,phx
954,"Paraíba, Brasil "
955,Monticello
956,Arizona
957,Volta redonda
958,"Quintana Roo, México"
959,Southwest Arizona
960,Miami / Fort Lauderdale
961,"California, USA"
962,"Lexington, KY"
963,Sheffield
964,"Indianapolis, IN"
965,"Hudson Valley, New York"
966,Nor*Cal
967,"Seattle, WA"
968,"California, USA"
969,gaziantep
970,Through the mists
971,Colorado
972,istanbul kartal
973,"San Diego, CA"
974,Niteroi
975,Albania
976,"lexington, ky"
977,"San Diego, CA"
978,USA
979,"Boston, MA"
980,Serik / ANTALYA
981,"San Diego, CA"
982,"grove heights, sc"
983,"Ellerys Lane, Dedham, Maine"
984,Ohio
985,Rio de Janeiro
986,"North Canton, OH"
987,"New York, NY"
988,Şehr-i İstanbul
989,"Tucson, Arizona"
990,grove heights.
991,"Vatan, "
992,Melbourne
993,Houston
994,"Burr Ridge, IL"
995,"Nashville, TN."
996,"California, USA"
997,"South Carolina, USA"
998,United States
999,"Santa Monica, CA"
1000,Edinburgh
1001,JYPNation|Crush&Dean|Luhan|UNB
1002,"Şahinbey, Gaziantep"
1003,Belgium
1004,"Washington, DC"
1005,"Wichita, Kansas"
1006,"Tuzla, İstanbul"
1007,"Bradenton, FL"
1009,İstanbul-Trabzon-Kocaeli
1010,"Whittier, California"
1011,"Los Angeles, CA"
1012,"Atlanta, GA"
1013,"Simpsonville, SC"
1014,"Danville, IL"
1015,Washington
1016,"Virginia, USA"
1017,Devizes
1018,"Harpswell, ME USA"
1019,DM[V]
1020,"Cranbury, NJ"
1021,"Barcelona, Spain"
1022,sacramento
1023,"Greenwood Village, CO"
1024,"Baltimore, MD"
1025,"Norfolk, NE"
1026,United States
1027,Bayonne NJ  | multifandom
1028,United States
1029,Moving to Southern California
1030,"Lexington, KY"
1031,"Peoria Heights, IL"
1032,Washington
1033,"Rio de Janeiro, Brazil"
1034,"Valencia, España"
1035,Bank
1036,NYC
1037,"Kenosha, WI, Skokie, IL and Chicago, IL"
1038,probably at target
1039,"Rio de Janeiro, Brasil"
1041,"Albuquerque, NM"
1042,"Springfield, Illinois"
1043,"Bethesda, MD"
1044,Orlando - Daytona Beach
1045,"Niterói, Brasil"
1046,South Florida
1047,Alpharetta GA
1049,"Chicago, IL"
1050,US
1051,"Avon, IN"
1052,"New York, NY"
1053,Maastricht
1054,"Houston, TX"
1055,"Georgia, Seattle, Austria& NYC"
1056,NYC
1057,"los angeles,califas"
1059,fl • asp
1060,"Oneonta, NY"
1061,Palm Springs
1062,"Palm Springs, CA"
1063,"Seattle, WA"
1064,"Harrisburg, PA"
1065,"Las Vegas, NV"
1066,Barbourville Kentucky
1067,Wherever...
1068,"Chicago, IL"
1069,New York
1070,"Soho, NY NY"
1071,"California, USA"
1072,"Owings, MD"
1073,"New Orleans, LA"
1074,"Kelang, Selangor"
1075,"Ewa Beach, HI"
1076,"Campinas, Brasil"
1077,"Abstract, U.S.A."
1078,wandering around in my dreams
1079,red ruff PLUS
1080,"Decatur, IL"
1081,"Espírito Santo, Brasil"
1082,tres rios rj
1083,Southern California
1084,"San Marcos, TX"
1085,"Bonsucesso, Rio de Janeiro"
1086,"Mississippi, USA"
1087,"Clarksburg, MD"
1088,Fourth Moon of Yavin
1089,"Los Angeles, CA"
1090,"Boston, MA"
1091,Ilha do governador
1092,"B/w Venus, Mercury & Jupiter"
1093,Liverpool
1094,Greater Boston
1095,Richmond VA
1096,Lalaland.
1097,"Ohio, USA"
1098,Indianapolis
1099,e s s t q
1100,Bryant Arkansas
1101,Brazil
1102,US
1103,"Florida, USA"
1104,"Downers Grove, IL"
1106,Diyarbakır
1107,chicagoooo
1108,New York
1109,Suriname
1110,Midlothian Virginia
1111,New York
1112,"Rio de Janeiro, Brasil"
1113,"Columbia, SC"
1114,Waldron
1115,Crawfordsville
1116,"Las Vegas, Nevada"
1117,"San Francisco Bay Area, USA"
1118,"Thorofare, NJ"
1119,"Ilha do Governador, Rio de Janeiro"
1120,"Elizabethtown, KY"
1121,NC or RI or NYC probably
1122,usa
1123,"Ottumwa, IA"
1124,Purdue Bay Alaska
1125,Newark / York
1126,"Indiana (formerly Toledo,OH)"
1127,"New York, NY"
1128,NE Mississippi
1129,"Ottumwa, IA"
1130,"Chattanooga, TN"
1131,"Racine, WI"
1132,"Kansas City, Missouri"
1133,"Brea, CA"
1134,"Washington, DC"
1135,finally with the gf
1136,"Anthems, in my throne "
1137,"Chattanooga, TN"
1138,"HOUSTON, TX."
1139,"Boca Raton, FL"
1140,Chicago
1141,"Englewood, FL"
1142,"Baltimore, MD"
1143,United States
1144,San Diego County
1145,"North Carolina, USA"
1147,Kuala Lumpur
1148,"Kansas City, MO"
1149,"West Fargo, ND"
1150,NH & VT
1151,"Richmond, VA"
1152,"New York, NY"
1153,"A Valley Somewhere in NY, USA"
1154,"California, USA"
1155,USA
1156,at work .
1157,"Wellington, New Zealand"
1158,Port Washington
1159,"Missouri, USA"
1160,"Fort Myers, FL"
1161,Houston Texas
1162,Texas
1163,"Rio de Janeiro, Brasil"
1164,"Rochester, NY"
1165,SEOUL CITY
1166,"California, USA"
1167,"Swansea, Wales"
1168,San Francisco
1169,"Marina, CA"
1170,"Broken Arrow, OK"
1171,"Washington, D.C."
1172,New York
1173,m s w s s
1174,"Mehlville, MO"
1175,"Centralia, MO"
1176,United States
1177,The Universe.
1178,"Mishawaka, IN"
1179,"Lynchburg, VA"
1180,"New Orleans, LA"
1181,"San Francisco, CA"
1182,"Lucas Valley
"
1183,"Pachtgoederen
"
1184,"Urschendorf
"
1185,"Pailshara
"
1186,"Fraforeano
"
1187,"Miami Beach, FL"
1188,"Fort Wayne, IN"
1189,"Waiden
"
1190,"Spring Arbor
"
1191,"Tenbrielen
"
1192,Cincinnati
1193,Formerly Bi-Coastal (CA & FL)
1194,"Cannon Beach, Oregon"
1195,Brazil
1196,America...fuck yeah
1197,"Appleton, WI"
1198,"Washington, D.C."
1199,New Jersey
1200,"Washington, DC"
1201,Thorofare New Jersey USA
1202,"Columbia, SC"
1203,"Philadelphia, PA"
1204,"Providence, RI"
1205,"San Diego, CA"
1206,Rio de Janeiro
1207,USA
1208,"Ada, MI"
1209,"Lake Los Angeles, CA"
1210,"Washington, D.C."
1211,"Bentonville, AR"
1212,"Phoenix, AZ"
1213,United States
1214,"Florida, USA"
1215,"Washington, DC"
1216,Dr. Who's Phone Booth
1217,"Queens, New York"
1218,Having BTS swim in my tears
1219,"Orlando, FL"
1220,Georgia
1221,"Dar es Salaam, Tanzania"
1222,Van
1223,"Colorado, USA"
1224,"Rio de Janeiro, Brasil"
1225,not in DubC
1226,"San Antonio, TX"
1228,Preston
1229,"Houston, TX"
1230,Nazareth PA
1231,"Melbourne, Victoria"
1232,Planet Earth
1233,Chicago | Michoacan
1234,United States
1235,"Orlando & Jacksonville, FL"
1236,"Portland, Oregon"
1237,The Milky Way
1238,"Rio de Janeiro, Brasil"
1239,"Glasgow, KY"
1240,"Arizona, USA"
1242,"New York, NY"
1243,Bama
1244,USA
1245,New Zealand
1246,"Palmdale, CA"
1247,"Houston, TX"
1248,Gloucestershire
1249,"Rio de Janeiro, Brasil"
1250,Hillside
1251,U.S.
1253,The Polo Trap
1254,"Atlanta, GA"
1255,"Philadelphia, PA"
1256,"Everywhere, nowhere"
1257,"Austin, TX "
1258,"Mission Viejo, CA"
1259,"Lakeland, Florida"
1260,upstate SC
1261,"Twinsburg, OH"
1262,Cc tx
